Term Code,Term Name,Term Type,Source Ontology,Description,Business Meaning,Technical Meaning,Schema.org Equivalent,Status,Property Count,Relationships,Parent Entity,Data Type,Required,Constraints,Example,Source Entity,Target Entity,Cardinality
property-CompetitivePosition-competitorComparisons,competitorComparisons,Property,AI Visibility Assessment,List of CompetitorComparison entities,Attribute capturing list of competitorcomparison entities,Field 'competitorComparisons' of type ItemList(required),,active,,,CompetitivePosition,ItemList,Yes,,,,,
property-CompetitivePosition-marketLeaderGap,marketLeaderGap,Property,AI Visibility Assessment,Point gap to market leader,Attribute capturing point gap to market leader,Field 'marketLeaderGap' of type Number(required),,active,,,CompetitivePosition,Number,Yes,,23,,,
property-CompetitivePosition-positioningStatement,positioningStatement,Property,AI Visibility Assessment,Summary of competitive position,Attribute capturing summary of competitive position,Field 'positioningStatement' of type Text(required),,active,,,CompetitivePosition,Text,Yes,,Mid-tier visibility; strong technical execution but weak market perception,,,
entity-CompetitorComparison,CompetitorComparison,Entity,AI Visibility Assessment,Comparison to a specific competitor,Business concept representing CompetitorComparison within the AI Visibility Assessment domain,JSON-LD entity of type CompetitorComparison with 5 defined properties,schema:Thing,active,5,0,,,,,,,,
property-CompetitorComparison-competitor,competitor,Property,AI Visibility Assessment,Competitor organization,Attribute capturing competitor organization,Field 'competitor' of type Organization(required),,active,,,CompetitorComparison,Organization,Yes,,,,,
property-CompetitorComparison-competitorScore,competitorScore,Property,AI Visibility Assessment,Competitor's AI visibility score,Attribute capturing competitor's ai visibility score,Field 'competitorScore' of type Number(required),,active,,,CompetitorComparison,Number,Yes,"minimum: 0, maximum: 100",,,,
property-CompetitorComparison-scoreDelta,scoreDelta,Property,AI Visibility Assessment,Point difference (positive = we're ahead),Attribute capturing point difference (positive = we're ahead),Field 'scoreDelta' of type Number(required),,active,,,CompetitorComparison,Number,Yes,,-15,,,
property-CompetitorComparison-dimensionalComparison,dimensionalComparison,Property,AI Visibility Assessment,Dimension-by-dimension comparison,Attribute capturing dimension-by-dimension comparison,Field 'dimensionalComparison' of type ItemList(optional),,active,,,CompetitorComparison,ItemList,No,,,,,
property-CompetitorComparison-keyDifferentiators,keyDifferentiators,Property,AI Visibility Assessment,What makes them different from us,Attribute capturing what makes them different from us,Field 'keyDifferentiators' of type ItemList(optional),,active,,,CompetitorComparison,ItemList,No,,,,,
relationship-assesses,assesses,Relationship,AI Visibility Assessment,Links assessment to the organization being evaluated,Relationship expressing that  assesses ,Link from  to  with cardinality 1..1,,active,,,,,,,,,,1..1
relationship-hasDimensionalScore,hasDimensionalScore,Relationship,AI Visibility Assessment,Assessment includes exactly 5 dimensional scores,Relationship expressing that  hasDimensionalScore ,Link from  to  with cardinality 1..5,,active,,,,,,,,,,1..5
relationship-hasIndicator,hasIndicator,Relationship,AI Visibility Assessment,Dimension is measured by multiple indicators,Relationship expressing that  hasIndicator ,Link from  to  with cardinality 1..*,,active,,,,,,,,,,1..*
relationship-comparesTo,comparesTo,Relationship,AI Visibility Assessment,Position includes comparisons to competitors,Relationship expressing that  comparesTo ,Link from  to  with cardinality 0..*,,active,,,,,,,,,,0..*
entity-CustomerOrganization,CustomerOrganization,Entity,Customer Organization Profile,Organization seeking to improve AI visibility and market positioning,Business concept representing CustomerOrganization within the Customer Organization Profile domain,JSON-LD entity of type CustomerOrganization with 19 defined properties,schema:Thing,active,19,0,,,,,,,,
property-CustomerOrganization-organizationId,organizationId,Property,Customer Organization Profile,Unique identifier for the organization,Attribute capturing unique identifier for the organization,Field 'organizationId' of type Text(required),,active,,,CustomerOrganization,Text,Yes,,ORG-2025-001,,,
property-CustomerOrganization-legalName,legalName,Property,Customer Organization Profile,Official legal name of the organization,Attribute capturing official legal name of the organization,Field 'legalName' of type Text(required),,active,,,CustomerOrganization,Text,Yes,,,,,
property-CustomerOrganization-tradingName,tradingName,Property,Customer Organization Profile,Trading or brand name if different from legal name,Attribute capturing trading or brand name if different from legal name,Field 'tradingName' of type Text(optional),,active,,,CustomerOrganization,Text,No,,,,,
property-CustomerOrganization-industry,industry,Property,Customer Organization Profile,Primary industry sector,Attribute capturing primary industry sector,Field 'industry' of type Text(required),,active,,,CustomerOrganization,Text,Yes,,Professional Services - Technology Consulting,,,
property-CustomerOrganization-industrySector,industrySector,Property,Customer Organization Profile,Broad industry sector classification,Attribute capturing broad industry sector classification,Field 'industrySector' of type Text(required),,active,,,CustomerOrganization,Text,Yes,"enum: ['Technology', 'Financial Services', 'Healthcare', 'Retail', 'Manufacturing', 'Professional Services', 'Education', 'Government', 'Other']",,,,
property-CustomerOrganization-numberOfEmployees,numberOfEmployees,Property,Customer Organization Profile,Total employee count,Attribute capturing total employee count,Field 'numberOfEmployees' of type Number(required),,active,,,CustomerOrganization,Number,Yes,,,,,
property-CustomerOrganization-companySize,companySize,Property,Customer Organization Profile,Company size classification,Attribute capturing company size classification,Field 'companySize' of type Text(required),,active,,,CustomerOrganization,Text,Yes,"enum: ['Startup (1-50)', 'SME (51-250)', 'Mid-Market (251-1000)', 'Enterprise (1000+)']",,,,
property-CustomerOrganization-annualRevenue,annualRevenue,Property,Customer Organization Profile,"Annual revenue (optional, may be sensitive)","Attribute capturing annual revenue (optional, may be sensitive)",Field 'annualRevenue' of type MonetaryAmount(optional),,active,,,CustomerOrganization,MonetaryAmount,No,,,,,
property-CustomerOrganization-headquartersLocation,headquartersLocation,Property,Customer Organization Profile,Primary headquarters location,Attribute capturing primary headquarters location,Field 'headquartersLocation' of type PostalAddress(required),,active,,,CustomerOrganization,PostalAddress,Yes,,,,,
property-CustomerOrganization-operatingRegions,operatingRegions,Property,Customer Organization Profile,Geographic regions where organization operates,Attribute capturing geographic regions where organization operates,Field 'operatingRegions' of type ItemList(required),,active,,,CustomerOrganization,ItemList,Yes,,"UK, Europe, North America",,,
property-CustomerOrganization-website,website,Property,Customer Organization Profile,Primary website URL,Attribute capturing primary website url,Field 'website' of type URL(required),,active,,,CustomerOrganization,URL,Yes,,,,,
property-CustomerOrganization-linkedInProfile,linkedInProfile,Property,Customer Organization Profile,LinkedIn company page URL,Attribute capturing linkedin company page url,Field 'linkedInProfile' of type URL(optional),,active,,,CustomerOrganization,URL,No,,,,,
property-CustomerOrganization-primaryContact,primaryContact,Property,Customer Organization Profile,Primary contact for engagement,Attribute capturing primary contact for engagement,Field 'primaryContact' of type ContactPoint(required),,active,,,CustomerOrganization,ContactPoint,Yes,,,,,
property-CustomerOrganization-aiMaturityContext,aiMaturityContext,Property,Customer Organization Profile,Current AI maturity and context,Attribute capturing current ai maturity and context,Field 'aiMaturityContext' of type AIMaturityContext(required),,active,,,CustomerOrganization,AIMaturityContext,Yes,,,,,
property-CustomerOrganization-strategicProfile,strategicProfile,Property,Customer Organization Profile,Strategic objectives and priorities,Attribute capturing strategic objectives and priorities,Field 'strategicProfile' of type StrategicProfile(required),,active,,,CustomerOrganization,StrategicProfile,Yes,,,,,
property-CustomerOrganization-assessmentHistory,assessmentHistory,Property,Customer Organization Profile,List of AIVisibilityAssessment references,Attribute capturing list of aivisibilityassessment references,Field 'assessmentHistory' of type ItemList(optional),,active,,,CustomerOrganization,ItemList,No,,,,,
property-CustomerOrganization-engagementStatus,engagementStatus,Property,Customer Organization Profile,Current engagement status with BAIV,Attribute capturing current engagement status with baiv,Field 'engagementStatus' of type Text(required),,active,,,CustomerOrganization,Text,Yes,"enum: ['Prospect', 'Trial', 'Active Subscriber', 'Churned', 'On Hold']",,,,
property-CustomerOrganization-customerSince,customerSince,Property,Customer Organization Profile,Date became customer (if applicable),Attribute capturing date became customer (if applicable),Field 'customerSince' of type Date(optional),,active,,,CustomerOrganization,Date,No,,,,,
property-CustomerOrganization-tags,tags,Property,Customer Organization Profile,Categorization tags for filtering/searching,Attribute capturing categorization tags for filtering/searching,Field 'tags' of type ItemList(optional),,active,,,CustomerOrganization,ItemList,No,,,,,
entity-AIMaturityContext,AIMaturityContext,Entity,Customer Organization Profile,Current state of AI adoption and maturity,Business concept representing AIMaturityContext within the Customer Organization Profile domain,JSON-LD entity of type AIMaturityContext with 10 defined properties,schema:Thing,active,10,0,,,,,,,,
property-AIMaturityContext-maturityStage,maturityStage,Property,Customer Organization Profile,Current AI maturity stage,Attribute capturing current ai maturity stage,Field 'maturityStage' of type Text(required),,active,,,AIMaturityContext,Text,Yes,"enum: ['Awareness', 'Interest', 'Experimentation', 'Adoption', 'Optimization']",,,,
property-AIMaturityContext-activeAIProjects,activeAIProjects,Property,Customer Organization Profile,Number of active AI projects,Attribute capturing number of active ai projects,Field 'activeAIProjects' of type Number(required),,active,,,AIMaturityContext,Number,Yes,,,,,
property-AIMaturityContext-aiInProduction,aiInProduction,Property,Customer Organization Profile,Whether organization has AI in production,Attribute capturing whether organization has ai in production,Field 'aiInProduction' of type Boolean(required),,active,,,AIMaturityContext,Boolean,Yes,,,,,
property-AIMaturityContext-aiTeamSize,aiTeamSize,Property,Customer Organization Profile,Number of people working on AI initiatives,Attribute capturing number of people working on ai initiatives,Field 'aiTeamSize' of type Number(optional),,active,,,AIMaturityContext,Number,No,,,,,
property-AIMaturityContext-aiToolsUsed,aiToolsUsed,Property,Customer Organization Profile,List of AI tools/platforms currently used,Attribute capturing list of ai tools/platforms currently used,Field 'aiToolsUsed' of type ItemList(optional),,active,,,AIMaturityContext,ItemList,No,,"ChatGPT, GitHub Copilot, Microsoft Copilot",,,
property-AIMaturityContext-primaryAIUseCases,primaryAIUseCases,Property,Customer Organization Profile,Main use cases for AI,Attribute capturing main use cases for ai,Field 'primaryAIUseCases' of type ItemList(required),,active,,,AIMaturityContext,ItemList,Yes,,"Customer service automation, Content generation, Data analysis",,,
property-AIMaturityContext-aiStrategy,aiStrategy,Property,Customer Organization Profile,Level of AI strategy definition,Attribute capturing level of ai strategy definition,Field 'aiStrategy' of type Text(required),,active,,,AIMaturityContext,Text,Yes,"enum: ['No Strategy', 'Ad Hoc', 'Emerging', 'Defined', 'Integrated']",,,,
property-AIMaturityContext-aiInvestmentLevel,aiInvestmentLevel,Property,Customer Organization Profile,Level of investment in AI,Attribute capturing level of investment in ai,Field 'aiInvestmentLevel' of type Text(required),,active,,,AIMaturityContext,Text,Yes,"enum: ['Minimal', 'Exploratory', 'Moderate', 'Significant', 'Strategic']",,,,
property-AIMaturityContext-dataMaturityLevel,dataMaturityLevel,Property,Customer Organization Profile,Data infrastructure and quality maturity,Attribute capturing data infrastructure and quality maturity,Field 'dataMaturityLevel' of type Text(required),,active,,,AIMaturityContext,Text,Yes,"enum: ['Low', 'Medium', 'High', 'Advanced']",,,,
property-AIMaturityContext-keyAIChallenges,keyAIChallenges,Property,Customer Organization Profile,Main challenges in AI adoption,Attribute capturing main challenges in ai adoption,Field 'keyAIChallenges' of type ItemList(optional),,active,,,AIMaturityContext,ItemList,No,,"Lack of skills, Data quality issues, Budget constraints",,,
entity-StrategicProfile,StrategicProfile,Entity,Customer Organization Profile,Strategic objectives and priorities for AI visibility improvement,Business concept representing StrategicProfile within the Customer Organization Profile domain,JSON-LD entity of type StrategicProfile with 8 defined properties,schema:Thing,active,8,0,,,,,,,,
property-StrategicProfile-primaryObjective,primaryObjective,Property,Customer Organization Profile,Primary goal for improving AI visibility,Attribute capturing primary goal for improving ai visibility,Field 'primaryObjective' of type Text(required),,active,,,StrategicProfile,Text,Yes,,Position as AI innovation leader in professional services,,,
property-StrategicProfile-targetMarket,targetMarket,Property,Customer Organization Profile,Target market for AI positioning,Attribute capturing target market for ai positioning,Field 'targetMarket' of type Text(required),,active,,,StrategicProfile,Text,Yes,,Mid-market financial services firms in UK,,,
property-StrategicProfile-competitiveGoals,competitiveGoals,Property,Customer Organization Profile,Specific competitive positioning goals,Attribute capturing specific competitive positioning goals,Field 'competitiveGoals' of type ItemList(required),,active,,,StrategicProfile,ItemList,Yes,,"Match Big 4 AI capabilities perception, Top 3 in sector for AI thought leadership",,,
property-StrategicProfile-timeHorizon,timeHorizon,Property,Customer Organization Profile,Planning horizon for improvement,Attribute capturing planning horizon for improvement,Field 'timeHorizon' of type Text(required),,active,,,StrategicProfile,Text,Yes,"enum: ['30-Day Sprint', '90-Day Program', '6-Month Plan', '12-Month Strategy']",,,,
property-StrategicProfile-investmentCapacity,investmentCapacity,Property,Customer Organization Profile,Available budget for AI visibility initiatives,Attribute capturing available budget for ai visibility initiatives,Field 'investmentCapacity' of type Text(required),,active,,,StrategicProfile,Text,Yes,"enum: ['Limited', 'Moderate', 'Substantial', 'Significant']",,,,
property-StrategicProfile-executionCapacity,executionCapacity,Property,Customer Organization Profile,Internal capability to execute improvement actions,Attribute capturing internal capability to execute improvement actions,Field 'executionCapacity' of type Text(required),,active,,,StrategicProfile,Text,Yes,"enum: ['Constrained', 'Adequate', 'Strong', 'Excellent']",,,,
property-StrategicProfile-priorityDimensions,priorityDimensions,Property,Customer Organization Profile,Which visibility dimensions are highest priority,Attribute capturing which visibility dimensions are highest priority,Field 'priorityDimensions' of type ItemList(optional),,active,,,StrategicProfile,ItemList,No,,"Market Perception, Competitive Position",,,
property-StrategicProfile-successMetrics,successMetrics,Property,Customer Organization Profile,How customer defines success,Attribute capturing how customer defines success,Field 'successMetrics' of type ItemList(optional),,active,,,StrategicProfile,ItemList,No,,"Move from tier 2 to tier 1, Close gap to market leader by 50%",,,
entity-ContactPoint,ContactPoint,Entity,Customer Organization Profile,Contact information for engagement,Business concept representing ContactPoint within the Customer Organization Profile domain,JSON-LD entity of type ContactPoint with 6 defined properties,schema:Thing,active,6,0,,,,,,,,
property-ContactPoint-contactType,contactType,Property,Customer Organization Profile,Type of contact,Attribute capturing type of contact,Field 'contactType' of type Text(required),,active,,,ContactPoint,Text,Yes,"enum: ['Primary', 'Executive Sponsor', 'Technical', 'Marketing', 'Procurement']",,,,
property-ContactPoint-name,name,Property,Customer Organization Profile,Contact person name,Attribute capturing contact person name,Field 'name' of type Text(required),,active,,,ContactPoint,Text,Yes,,,,,
property-ContactPoint-jobTitle,jobTitle,Property,Customer Organization Profile,Job title/role,Attribute capturing job title/role,Field 'jobTitle' of type Text(required),,active,,,ContactPoint,Text,Yes,,,,,
property-ContactPoint-email,email,Property,Customer Organization Profile,Email address,Attribute capturing email address,Field 'email' of type Text(required),,active,,,ContactPoint,Text,Yes,,,,,
property-ContactPoint-telephone,telephone,Property,Customer Organization Profile,Phone number,Attribute capturing phone number,Field 'telephone' of type Text(optional),,active,,,ContactPoint,Text,No,,,,,
property-ContactPoint-linkedInProfile,linkedInProfile,Property,Customer Organization Profile,LinkedIn profile URL,Attribute capturing linkedin profile url,Field 'linkedInProfile' of type URL(optional),,active,,,ContactPoint,URL,No,,,,,
relationship-hasBeenAssessed,hasBeenAssessed,Relationship,Customer Organization Profile,Organization has history of assessments,Relationship expressing that  hasBeenAssessed ,Link from  to  with cardinality 0..*,,active,,,,,,,,,,0..*
relationship-hasContact,hasContact,Relationship,Customer Organization Profile,Organization has one or more contacts,Relationship expressing that  hasContact ,Link from  to  with cardinality 1..*,,active,,,,,,,,,,1..*
relationship-hasAIContext,hasAIContext,Relationship,Customer Organization Profile,Organization has AI maturity context,Relationship expressing that  hasAIContext ,Link from  to  with cardinality 1..1,,active,,,,,,,,,,1..1
relationship-hasStrategicProfile,hasStrategicProfile,Relationship,Customer Organization Profile,Organization has strategic profile,Relationship expressing that  hasStrategicProfile ,Link from  to  with cardinality 1..1,,active,,,,,,,,,,1..1
entity-GapAnalysis,GapAnalysis,Entity,Gap Analysis & Diagnosis,Comprehensive analysis of gaps between current state and desired state,Business concept representing GapAnalysis within the Gap Analysis & Diagnosis domain,JSON-LD entity of type GapAnalysis with 13 defined properties,schema:Thing,active,13,0,,,,,,,,
property-GapAnalysis-analysisId,analysisId,Property,Gap Analysis & Diagnosis,Unique identifier for gap analysis,Attribute capturing unique identifier for gap analysis,Field 'analysisId' of type Text(required),,active,,,GapAnalysis,Text,Yes,,GAP-2025-001,,,
property-GapAnalysis-baselineAssessment,baselineAssessment,Property,Gap Analysis & Diagnosis,Assessment that forms the baseline,Attribute capturing assessment that forms the baseline,Field 'baselineAssessment' of type AIVisibilityAssessment(required),,active,,,GapAnalysis,AIVisibilityAssessment,Yes,,,,,
property-GapAnalysis-organization,organization,Property,Gap Analysis & Diagnosis,Organization being analyzed,Attribute capturing organization being analyzed,Field 'organization' of type CustomerOrganization(required),,active,,,GapAnalysis,CustomerOrganization,Yes,,,,,
property-GapAnalysis-analysisDate,analysisDate,Property,Gap Analysis & Diagnosis,Date analysis was conducted,Attribute capturing date analysis was conducted,Field 'analysisDate' of type Date(required),,active,,,GapAnalysis,Date,Yes,,,,,
property-GapAnalysis-analyst,analyst,Property,Gap Analysis & Diagnosis,Person conducting analysis,Attribute capturing person conducting analysis,Field 'analyst' of type Person(required),,active,,,GapAnalysis,Person,Yes,,,,,
property-GapAnalysis-gapsIdentified,gapsIdentified,Property,Gap Analysis & Diagnosis,List of Gap entities identified,Attribute capturing list of gap entities identified,Field 'gapsIdentified' of type ItemList(required),,active,,,GapAnalysis,ItemList,Yes,,,,,
property-GapAnalysis-opportunitiesIdentified,opportunitiesIdentified,Property,Gap Analysis & Diagnosis,List of ImprovementOpportunity entities,Attribute capturing list of improvementopportunity entities,Field 'opportunitiesIdentified' of type ItemList(required),,active,,,GapAnalysis,ItemList,Yes,,,,,
property-GapAnalysis-priorityOpportunities,priorityOpportunities,Property,Gap Analysis & Diagnosis,Top 3-5 opportunities by impact and feasibility,Attribute capturing top 3-5 opportunities by impact and feasibility,Field 'priorityOpportunities' of type ItemList(required),,active,,,GapAnalysis,ItemList,Yes,,,,,
property-GapAnalysis-diagnosticFindings,diagnosticFindings,Property,Gap Analysis & Diagnosis,List of DiagnosticFinding entities,Attribute capturing list of diagnosticfinding entities,Field 'diagnosticFindings' of type ItemList(required),,active,,,GapAnalysis,ItemList,Yes,,,,,
property-GapAnalysis-competitiveGaps,competitiveGaps,Property,Gap Analysis & Diagnosis,Gaps relative to specific competitors,Attribute capturing gaps relative to specific competitors,Field 'competitiveGaps' of type ItemList(optional),,active,,,GapAnalysis,ItemList,No,,,,,
property-GapAnalysis-rootCauses,rootCauses,Property,Gap Analysis & Diagnosis,Root cause analysis results,Attribute capturing root cause analysis results,Field 'rootCauses' of type ItemList(required),,active,,,GapAnalysis,ItemList,Yes,,,,,
property-GapAnalysis-overallGapScore,overallGapScore,Property,Gap Analysis & Diagnosis,"Magnitude of gap to desired state (0=no gap, 100=maximum gap)","Attribute capturing magnitude of gap to desired state (0=no gap, 100=maximum gap)",Field 'overallGapScore' of type Number(required),,active,,,GapAnalysis,Number,Yes,"minimum: 0, maximum: 100",,,,
property-GapAnalysis-quickWins,quickWins,Property,Gap Analysis & Diagnosis,Opportunities achievable in <30 days with high impact,Attribute capturing opportunities achievable in <30 days with high impact,Field 'quickWins' of type ItemList(optional),,active,,,GapAnalysis,ItemList,No,,,,,
entity-Gap,Gap,Entity,Gap Analysis & Diagnosis,Specific gap between current and desired state,Business concept representing Gap within the Gap Analysis & Diagnosis domain,JSON-LD entity of type Gap with 10 defined properties,schema:Thing,active,10,0,,,,,,,,
